VENUE,Full Address
Admiral Duncan,"54 Old Compton Street, W1D 4UD"
Arch Clapham,"Arch 642, Voltaire Rd, London , SW4 6DH"
Bethnal Green Working Men's Club,"42-46 Pollard Row, E2 6NB"
"Bridge Bar, The","8 Voltaire Road, SW4 6DH"
Bunker Bar (formerly East Bloc),"217 City Road, EC1V 1JN"
Central Station (King's Cross),"37 Wharfdale Road, N1 9SD"
Circa,"62 Frith Street, W1D 3JN"
Circa Embankment,"Hungerford House, Victoria Embankment, WC2N 6PA"
"City of Quebec, The","12 Old Quebec Street, W1H 7AF"
"Cock Tavern, The","340 Kennington Road, SE11 4LD"
Colour Factory,"8 Queen's Yard, E9 5EN"
"Common Press, The","118 Bethnal Green Road, E2 6DG"
Comptons of Soho,"51-53 Old Compton Street, W1D 6HN"
Dalston Superstore,"117 Kingsland High Street, E8 2PB"
"Divine, The","33 Stoke Newington Road, N16 8BJ"
Duke of Wellington,"77 Wardour Street, W1D 6QA"
Eagle London,"349 Kennington Lane, SE11 5QY"
Fire (including Lightbox and Protocol),"39 (34-41) Parry Street; South Lambeth Road, SW8 1RT"
Freedom,"60-66 Wardour Street, W1F 0TA"
"Friendly Society, The","79 Wardour Street, W1D 6QB"
G-A-Y Bar,"30 Old Compton Street, W1D 4UR"
Gays the Word,"66 Marchmont Street, WC1N 1AB"
"George & Dragon, The","2 Blackheath Hill, SE10 8DE"
"Glitch, The","134 Lower Marsh, SE1 7AE"
Goldie Saloon,"Unit 4, 10 Andre Street, E8 2AA"
Halfway to Heaven,"7 Duncannon Street, WC2N 4JF"
Heaven,"11 The Arches, Villiers Street, WC2N 6NG"
John the Unicorn,"157-159 Rye Lane, SE15 4TL"
Karoke Hole ,"95 Kingsland High St, E8 2PB"
King WIlliam IV,"77 Hampstead High Street, NW3 1RE"
"King's Arms, The","23 Poland Street, W1F 8QL"
Ku Bar  (including Klub and Lounge),"30 Lisle Street, WC2H 7BA"
La Camionera,"243 Well Street, E9 6RG"
Little Ku,"25 Frith Street, W1D 5LB"
"Lord Clyde, The","9 Wotton Road, SE8 5TQ"
"Nelson's, The","32 Horatio Street, E2 7SB"
"Old Nun's Head, The","15 Nunhead Green, SE15 3QQ"
"Old Ship, The","17 Barnes Street, E14 7NW"
Phoenix Arts Club,"1 Phoenix Street, WB2H 8BU"
Queen Adelaide of Cambridge Heath ,"483 Hackney Road, E2 9ED"
Retro Bar,"2 George Court, WC2N 6HH"
"Rising, The","98 Harper Road, SE1 6AQ"
Rose and Crown ,"1 Crooms Hill, SE10 8ER"
Royal Vauxhall Tavern,"372 Kennington Lane, SE11 5HY"
Rupert Street,"50 Rupert Street, W1D 6DR"
She Soho,"23a Old Compton Street, W1D 5JL"
Ted's Place,"305a North End Road, W14 9NS"
Tina We Salute You,"2 Olympic Park Ave, E20 1FT"
Triangle,"34 Watson's Street, SE8 4AU"
"Two Brewers, The ","114 Clapam High Street, SW4 7UJ"
"Underground Club, The","37 Wharfdale Road, N1 9SD"
Union,"66 Albert Embankment, SE1 7TW"
Vault 139,"139-143 Whitfield Street, W1T 5EN"
VFD (Vogue Fabrics Dalston),"66 Stoke Newington Road, N16 7XB"
Village,"81 Wardour Street, W1D 6QD"
Village 512,"512 Kingsland Road, E8 4AE"
"White Swan, The","556 Commercial Road, E14 7JD"
Wing and a Prayer,"181 Clarence Road, E5 8EE"
"Yard, The","57 Rupert Street, W1D 7PL"
Zodiac Bar,"119 Hampstead Road, NW1 3EE"
